,band_name,album,song_name,lyrics,genius_url,lyrics_clean,song_lower
15,Death Cab for Cutie,An Arrow in the Wall,An Arrow in the Wall,"My heart runs on gasoline vapors
The thousand drums waking up the neighbors
But I can feel the fissures in the freeways
The rusted steel, deception in the handshakes
In the handshakes

An arrow in the wall, arrow in the wall
Take it as a warning
That you are gonna fall, you are gonna fall
Even if you're soaring
Take it as a warning

This machine was built to be broken
The strip mall teens were sniffing and swollen
And I could not run fast enough to flee them
There's more than one way to get your freedom
To get your freedom

An arrow in the wall, arrow in the wall
Take it as a warning
That you are gonna fall, you are gonna fall
Even if you're soaring
An arrow in the wall, arrow in the wall
Take it as a warning
That you are gonna fall, you are gonna fall
Even if you're soaring
Take it as a warning
Take it as a warning
Take it as a warning
Take it as a warning

An arrow in the wall, arrow in the wall
Take it as a warning
That you are gonna fall, you are gonna fall
Even if you're soaring
An arrow in the wall, arrow in the wall
Take it as a warning
That you are gonna fall, you are gonna fall
Even if you're soaring
Take it as a warning
Take it as a warning
Take it as a warning
Take it as a warning",https://genius.com/Death-cab-for-cutie-an-arrow-in-the-wall-lyrics,my heart runs on gasoline vapors the thousand drums waking up the neighbors but i can feel the fissures in the freeways the rusted steel deception in the handshakes in the handshakes an arrow in the wall arrow in the wall take it as a warning that you are gonna fall you are gonna fall even if youre soaring take it as a warning this machine was built to be broken the strip mall teens were sniffing and swollen and i could not run fast enough to flee them theres more than one way to get your freedom to get your freedom an arrow in the wall arrow in the wall take it as a warning that you are gonna fall you are gonna fall even if youre soaring an arrow in the wall arrow in the wall take it as a warning that you are gonna fall you are gonna fall even if youre soaring take it as a warning take it as a warning take it as a warning take it as a warning an arrow in the wall arrow in the wall take it as a warning that you are gonna fall you are gonna fall even if youre soaring an arrow in the wall arrow in the wall take it as a warning that you are gonna fall you are gonna fall even if youre soaring take it as a warning take it as a warning take it as a warning take it as a warning,an arrow in the wall
90,Death Cab for Cutie,Asphalt Meadows,I’ll Never Give Up on You,"I've given up on aspiration
And I’ve given up on ever being cool
Gave up the drugs that made me restless
All the alcohol that made me cruel

But I'll never give up, never give up, I'll never give up on you
I’ll never give up, never give up, I'll never give up on you
I'll never give up, never give up, I'll never give up on you
I'll never give up, never give up, I'll never give up on you

I've given up on confrontation
And I've given up on every politician too
And I’ve given up on affectations
The dilettante they all consume

But I’ll never give up, never give up, I'll never give up on you
I’ll never give up, never give up, I'll never give up on you
I'll never give up, never give up, I'll never give up on you
I’ll never give up, never give up, I'll never give up on you

Never give up, never give up
I'll never give up on you
Never give up, never give up
I'll never give up on you
Never give up, never give up
I'll never give up on you
Never give up, never give up
I'll never give up on you
Never give up, never give up
Never give up, never give up
Never give up, never give up
Never give up, never give up",https://genius.com/Death-cab-for-cutie-ill-never-give-up-on-you-lyrics,ive given up on aspiration and ive given up on ever being cool gave up the drugs that made me restless all the alcohol that made me cruel but ill never give up never give up ill never give up on you ill never give up never give up ill never give up on you ill never give up never give up ill never give up on you ill never give up never give up ill never give up on you ive given up on confrontation and ive given up on every politician too and ive given up on affectations the dilettante they all consume but ill never give up never give up ill never give up on you ill never give up never give up ill never give up on you ill never give up never give up ill never give up on you ill never give up never give up ill never give up on you never give up never give up ill never give up on you never give up never give up ill never give up on you never give up never give up ill never give up on you never give up never give up ill never give up on you never give up never give up never give up never give up never give up never give up never give up never give up,i’ll never give up on you
144,Death Cab for Cutie,Asphalt Meadows,Pepper,"Take a picture to remember this by
You'll never hold all the details in your mind
Fillin' your head with superfluous facts
Pushin' out what you're never gettin' back
And all that's left is a version of the truth
A recollection that is often misconstrued
Sgt. Pepper with the faces of friends
But the names all elude you in the end

Kiss me just this one last time
Tell me that you once were mine

Takе a picture to remembеr me by
To show everybody who you left behind
The near-miss that almost shot you out the blue
I was a city you were only passin' through
And all that's left is a version of events
Favorably framed for the sake of self-defense
We barely notice as the pages disappear
Floating off into another year

Kiss me just this one last time
Tell me that you once were mine
Kiss me just this one last time
Show me that your love was mine


Kiss me just this one last time
Tell me that you once were mine
Kiss me just this one last time
Show me that your love was mine",https://genius.com/Death-cab-for-cutie-pepper-lyrics,take a picture to remember this by youll never hold all the details in your mind fillin your head with superfluous facts pushin out what youre never gettin back and all thats left is a version of the truth a recollection that is often misconstrued sgt pepper with the faces of friends but the names all elude you in the end kiss me just this one last time tell me that you once were mine takе a picture to remembеr me by to show everybody who you left behind the nearmiss that almost shot you out the blue i was a city you were only passin through and all thats left is a version of events favorably framed for the sake of selfdefense we barely notice as the pages disappear floating off into another year kiss me just this one last time tell me that you once were mine kiss me just this one last time show me that your love was mine kiss me just this one last time tell me that you once were mine kiss me just this one last time show me that your love was mine,pepper
86,Death Cab for Cutie,Asphalt Meadows,I Don’t Know How I Survive,"Listen to the ringing in your ears
The scrambled voices of your fears
Whispering, whispering
Listen to the sound of your heartbeat
Growing louder, gaining speed
You're breathin' out, breathin' in

In these nights, I don't know how I survive

Pacing across the room while she's asleep
Tears raining down her cheeks
Trying to hold, trying to hold on
Praying, even though you don't believe
Just in case they are received
By anyone, anyone

These nights, I don't know how I survive
(Thesе nights, I don't know how I survive)
These nights, I don't know how I survivе
(These nights, I don't know how I survive)
These nights, I don't know how I survive
(These nights, I don't know how I survive)
These nights, I don't know how I survive
(These nights, I don't know how I survive)

No, I don't know how I survive
(I don't know how I survive)
No, I don't know how I survive
(I don't know how I survive)

Listen to the ringing in your ears
The scrambled voices of your fears
Whispering, whispering",https://genius.com/Death-cab-for-cutie-i-dont-know-how-i-survive-lyrics,listen to the ringing in your ears the scrambled voices of your fears whispering whispering listen to the sound of your heartbeat growing louder gaining speed youre breathin out breathin in in these nights i dont know how i survive pacing across the room while shes asleep tears raining down her cheeks trying to hold trying to hold on praying even though you dont believe just in case they are received by anyone anyone these nights i dont know how i survive thesе nights i dont know how i survive these nights i dont know how i survivе these nights i dont know how i survive these nights i dont know how i survive these nights i dont know how i survive these nights i dont know how i survive these nights i dont know how i survive no i dont know how i survive i dont know how i survive no i dont know how i survive i dont know how i survive listen to the ringing in your ears the scrambled voices of your fears whispering whispering,i don’t know how i survive
92,Death Cab for Cutie,Asphalt Meadows,I Miss Strangers,"You were by my side on the frontline
Do you remember? Do you remember?
Due casualties of the punk wars
Buried in leather, in leather

These days I miss strangers more than I, more than I miss my friends
And waves of conversations break in on shores of my head again

Furnishments dumpstered or groundscored
You didn't need money, not money
Everything you own in a hatchback
Battered and musty, musty

These days I miss strangers more than I, more than I miss my friends
Dives filled with hopeless drunks sinking deeper into their sins
Try to be here now, I only ask you when

Reach out
Reach out
Reach out, to what is choking you
To what is choking you
Reach out, to what is choking you
To what is choking you

These days I miss strangers more than I, more than I miss my friends
Waves of conversations break in on shores of my head again
Try to be here now, I only ask you when
Try to be here now, I only ask you when
Try to be here now, I only ask you when
Try to be here now, I only ask you when",https://genius.com/Death-cab-for-cutie-i-miss-strangers-lyrics,you were by my side on the frontline do you remember do you remember due casualties of the punk wars buried in leather in leather these days i miss strangers more than i more than i miss my friends and waves of conversations break in on shores of my head again furnishments dumpstered or groundscored you didnt need money not money everything you own in a hatchback battered and musty musty these days i miss strangers more than i more than i miss my friends dives filled with hopeless drunks sinking deeper into their sins try to be here now i only ask you when reach out reach out reach out to what is choking you to what is choking you reach out to what is choking you to what is choking you these days i miss strangers more than i more than i miss my friends waves of conversations break in on shores of my head again try to be here now i only ask you when try to be here now i only ask you when try to be here now i only ask you when try to be here now i only ask you when,i miss strangers
80,Death Cab for Cutie,Asphalt Meadows,Here to Forever,"In every movie I watch from the fifties
There's only one thought that swirls around my head now
And that's that everyone there on the screen
Yeah, everyone there on the screen, well, they're all dead now
They're all dead now
And it ain't easy living above
And I can't help but keep falling in love with bones and ashes
With bones and ashes
And when the color is too bold and bright
I'm daydreaming in black and white until it passes
Until it passеs

I wanna know the measure from hеre to forever
And I wanna feel the pressure of God or whatever

Oh, these days, it's so hard to relax
You gotta hold a gun to my back to make me smile
To make me smile
And the only way I seem to cope
Is by trying to hold on to hope if just for a while
If just for a while

I wanna know the measure from here to forever
And I wanna feel the pressure of God or whatever
Now it seems more than ever there's no hands on the levers
And I wanna feel the pressure of God or whatever

Only rollers keep rolling
While the searchers keep scrolling


I wanna know the measure from here to forever
And I wanna feel the pressure of God or whatever
Now it seems more than ever there's no hands on the levers
And I wanna feel the pressure of God or whatever
Or whatever",https://genius.com/Death-cab-for-cutie-here-to-forever-lyrics,in every movie i watch from the fifties theres only one thought that swirls around my head now and thats that everyone there on the screen yeah everyone there on the screen well theyre all dead now theyre all dead now and it aint easy living above and i cant help but keep falling in love with bones and ashes with bones and ashes and when the color is too bold and bright im daydreaming in black and white until it passes until it passеs i wanna know the measure from hеre to forever and i wanna feel the pressure of god or whatever oh these days its so hard to relax you gotta hold a gun to my back to make me smile to make me smile and the only way i seem to cope is by trying to hold on to hope if just for a while if just for a while i wanna know the measure from here to forever and i wanna feel the pressure of god or whatever now it seems more than ever theres no hands on the levers and i wanna feel the pressure of god or whatever only rollers keep rolling while the searchers keep scrolling i wanna know the measure from here to forever and i wanna feel the pressure of god or whatever now it seems more than ever theres no hands on the levers and i wanna feel the pressure of god or whatever or whatever,here to forever
159,Death Cab for Cutie,Asphalt Meadows,Rand McNally,"A Rand McNally atlas, cheap coffee stained
Now, I wouldn't know how to use one with my life at stake
You were waiting on a payphone at a truck stop in Houston
Trying to call your mother, ’cause she's a worrier
A handful of twenties in your overcoat
Always rolled into a pillow on some stranger's floor
And you tell these stories with happy endings
Only when interrupted before they’re over

But I won't let the light fade
I won't let the light fade
Chasing these roads into dawns
I won't let the light fade
I won't let the light fade
Falling asleep in their arms

It seemed these highways were never-ending
Circling odds and evens, the numbers ascending and
Searching through static on the Wyoming plains
We danced to both kinds of music, as the old joke claims
And I wanted for nothing, I couldn't rent
We lived on whiskey and Twizzlers, and youth's discontent
With this Rand McNally atlas, dog-eared and frayed
Like Old Testament verses that don't make sense in this decade

Don’t let the light fade
I won’t let the light fade
Chasing these roads into dawns
I won't let the light fade
I won’t let the light fade
Falling asleep in their arms
But I won't let the light fade
I won't let the light fade
Chasing these roads into dawns

And I'm holding on
Holding on

I won’t let the light fade
I won't let the light fade
I won't let the light fade
I won't let the light fade
I won't let the light fade
I won't let the light fade",https://genius.com/Death-cab-for-cutie-rand-mcnally-lyrics,a rand mcnally atlas cheap coffee stained now i wouldnt know how to use one with my life at stake you were waiting on a payphone at a truck stop in houston trying to call your mother cause shes a worrier a handful of twenties in your overcoat always rolled into a pillow on some strangers floor and you tell these stories with happy endings only when interrupted before theyre over but i wont let the light fade i wont let the light fade chasing these roads into dawns i wont let the light fade i wont let the light fade falling asleep in their arms it seemed these highways were neverending circling odds and evens the numbers ascending and searching through static on the wyoming plains we danced to both kinds of music as the old joke claims and i wanted for nothing i couldnt rent we lived on whiskey and twizzlers and youths discontent with this rand mcnally atlas dogeared and frayed like old testament verses that dont make sense in this decade dont let the light fade i wont let the light fade chasing these roads into dawns i wont let the light fade i wont let the light fade falling asleep in their arms but i wont let the light fade i wont let the light fade chasing these roads into dawns and im holding on holding on i wont let the light fade i wont let the light fade i wont let the light fade i wont let the light fade i wont let the light fade i wont let the light fade,rand mcnally
70,Death Cab for Cutie,Asphalt Meadows,Fragments From the Decade,"Fragments from the decade are splayed out on your floor
Like hundreds of locked doors
There's a story that you're trying to find
But the pieces don't fit together in your mind

Your mother was a drunkard
Your father was not a saint
Your sister lacked restraint
And in photos you were always staring through the lens
To some distant place you would rather have been

Days are lonely and long
Walking in place where you don't belong
Here on paved native lands
Time disappears from the palms of your hands


Fragments from the decade are dancing in the fire
Like marionettes on wires
And if you stare too long they almost
Seem alive
Too beautiful and helpless to survive

Days are lonely and long
Walking in place where you don't belong
Here on paved native lands
Time disappears from the palms of your hands
(Time disappears from the palms of your hands)
(Time disappears from the palms of your hands)",https://genius.com/Death-cab-for-cutie-fragments-from-the-decade-lyrics,fragments from the decade are splayed out on your floor like hundreds of locked doors theres a story that youre trying to find but the pieces dont fit together in your mind your mother was a drunkard your father was not a saint your sister lacked restraint and in photos you were always staring through the lens to some distant place you would rather have been days are lonely and long walking in place where you dont belong here on paved native lands time disappears from the palms of your hands fragments from the decade are dancing in the fire like marionettes on wires and if you stare too long they almost seem alive too beautiful and helpless to survive days are lonely and long walking in place where you dont belong here on paved native lands time disappears from the palms of your hands time disappears from the palms of your hands time disappears from the palms of your hands,fragments from the decade
19,Death Cab for Cutie,Asphalt Meadows,Asphalt Meadows,"Your kiss was a lonely prayer
When you slipped it into my mouth
I closed my eyes and held it in
And then I exhaled it out
The glow of the downtown lights
Casting shadows across your face
As if all the buildings knew
I could only know half of you
And I was a snake under your flowers
I just wanted to disappear
Into the understory of your beauty
Never to reappear
But there's a name writ on your cast
Above the bruised and broken bones
It tells everybody that you meet
To whom the damage is owed

Wе rode a wave of white noisе
Beneath the city sleeping
I saw the train doors closing
I felt your sorrow deepen
Here in the asphalt meadows
There's only one thing that grows
Finding the light through the concrete
Getting trampled under our feet

You said all your bridges and roads
They all lead to an airport
Planes drifting off into the sky
Always depart, but never seem to arrive
And there in the early hour
Lying naked in your unmade bed
I was thinking of how to tell you
What my ticket read

Your kiss was a lonely prayer
A single candle, slowly burning down
But the light, your light was beautiful
Within its here and now

We rode a wave of white noise
Beneath the city sleeping
I saw the train doors closing
I felt your sorrow deepen
Here in the asphalt meadows
There's only one thing that grows
Finding the light through the concrete
Getting trampled under our feet
We rode a wave of white noise
Beneath the city sleeping
I saw the train doors closing
I felt your sorrow deepen
Here in the asphalt meadows
There's only one thing that grows
Finding the light through the concrete
Getting trampled under our feet
Getting trampled under our feet
Getting trampled under our feet
Getting trampled under our feet",https://genius.com/Death-cab-for-cutie-asphalt-meadows-lyrics,your kiss was a lonely prayer when you slipped it into my mouth i closed my eyes and held it in and then i exhaled it out the glow of the downtown lights casting shadows across your face as if all the buildings knew i could only know half of you and i was a snake under your flowers i just wanted to disappear into the understory of your beauty never to reappear but theres a name writ on your cast above the bruised and broken bones it tells everybody that you meet to whom the damage is owed wе rode a wave of white noisе beneath the city sleeping i saw the train doors closing i felt your sorrow deepen here in the asphalt meadows theres only one thing that grows finding the light through the concrete getting trampled under our feet you said all your bridges and roads they all lead to an airport planes drifting off into the sky always depart but never seem to arrive and there in the early hour lying naked in your unmade bed i was thinking of how to tell you what my ticket read your kiss was a lonely prayer a single candle slowly burning down but the light your light was beautiful within its here and now we rode a wave of white noise beneath the city sleeping i saw the train doors closing i felt your sorrow deepen here in the asphalt meadows theres only one thing that grows finding the light through the concrete getting trampled under our feet we rode a wave of white noise beneath the city sleeping i saw the train doors closing i felt your sorrow deepen here in the asphalt meadows theres only one thing that grows finding the light through the concrete getting trampled under our feet getting trampled under our feet getting trampled under our feet getting trampled under our feet,asphalt meadows
163,Death Cab for Cutie,Asphalt Meadows,Roman Candles,"It’s been a battle just to wake and greet the day
Then they all disappear like sugar in my coffee
(Sugar in my coffee)
A hint of sweetness but the bitterness remains
The acidity devouring my body
(Devouring my body)

But I am learning to let go
Of everything I tried to hold
Too long ‘cause they all explode
Like roman candles

I used to feel everything like a flame
But now it’s a struggle just to feel anything
(To feel anything)
I watch the world from a window on a hill
Everyone moving as I’m standing still
(I’m standing still)

But I am learning to let go
Of everything I tried to hold
Too long ‘cause they all explode
Like roman candles
Ah-woo, ah-woo
Ah-woo, ah-woo

But I am learning to let go (ah-woo)
Of everything I tried to hold (ah-woo)
Too long ‘cause they all explode
Like roman candles
Like roman candles",https://genius.com/Death-cab-for-cutie-roman-candles-lyrics,its been a battle just to wake and greet the day then they all disappear like sugar in my coffee sugar in my coffee a hint of sweetness but the bitterness remains the acidity devouring my body devouring my body but i am learning to let go of everything i tried to hold too long cause they all explode like roman candles i used to feel everything like a flame but now its a struggle just to feel anything to feel anything i watch the world from a window on a hill everyone moving as im standing still im standing still but i am learning to let go of everything i tried to hold too long cause they all explode like roman candles ahwoo ahwoo ahwoo ahwoo but i am learning to let go ahwoo of everything i tried to hold ahwoo too long cause they all explode like roman candles like roman candles,roman candles
