band_name,album,song_name,lyrics,genius_url
Death Cab for Cutie,The Photo Album (Deluxe Edition),20th Century Towers,"We'll correct collegiate mistakes
A shower of formal ideals
Completely soused the hearts on our sleeves
As they drowned we could hear them screaming
""Oh, what a tragic way to see our final days""

I attempt to talk up the town
""The answers are in the arches of the 20th century towers
And in comfortable cars in motion""
And yet it still remains, this incessant refrain:
""You're just like the rest, your restlessness makes you lazy""

Keeping busy is just wasting time
And I've wasted what little he gave me
All around
I know the conscious choice was crystal clear
To clean the slate of former years
When I sang softly in your ear
And tied these arms around you",https://genius.com/Death-cab-for-cutie-20th-century-towers-lyrics
Death Cab for Cutie,The Photo Album (Deluxe Edition),20th Century Towers (Band Demo),"We'll correct collegiate mistakes
A shower of formal ideals
Completely soused the hearts on our sleeves
As they drowned we could hear them screaming
""Oh, what a tragic way to see our final days""
I attempt to talk up the town
""The answers are in the arches of the 20th century towers
And in comfortable cars in motion""
And yet it still remains, this incessant refrain
""You're just like the rest, your restlessness makes you lazy""
Keeping busy is just wasting timе
And I've wasted what little hе gave me
All around
I know the conscious choice was crystal clear
To clean the slate of former years
When I sung softly in your ears
And tied these arms around you",https://genius.com/Death-cab-for-cutie-20th-century-towers-band-demo-lyrics
Death Cab for Cutie,We Have the Facts and We’re Voting Yes,405,"I took the 405 and drilled a stake down into your center
And stated that it's never ever been better than this
I hung my favorite shirt on the floorboard, wrinkled up
From pulling pushing and tasting, tasting

You keep twisting the truth
That keeps me thrown askew

Misguided by the 405, 'cause it lead me to an alcoholic summer
I missed the exit to your parents' house hours ago
Red wine and the cigarettes
Hide your bad habits underneath the patio, patio, patio, patio

You keep twisting the truth
That keeps me thrown askew
You keep twisting the truth
That keeps me thrown askew",https://genius.com/Death-cab-for-cutie-405-lyrics
Death Cab for Cutie,iTunes Originals – Death Cab for Cutie,405 (acoustic),"Oh, oh, oh, oh-oh, oh
Oh, oh, oh, oh-oh, oh

I took the 405 and drove a stake down into your center
And stated that, ""It's never ever been better than this""
I hung my favorite shirt on the floorboard
Wrinkled up from pulling, pushing, and tasting, tasting

You keep twisting the truth
That keeps me thrown askew

Misguided by the 405 'cause it lead me to an alcoholic summer
I missed the exit to your parents' house hours ago
Red wine and the cigarettes
Hide your bad habits underneath the patio, patio, patio, patio

You keep twisting the truth
That keeps me thrown askew
You keep twisting the truth
That keeps me thrown askew

Oh, oh, oh, oh-oh, oh
Oh, oh, oh, oh-oh, oh
Oh, oh, oh, oh-oh, oh
Oh, oh, oh, oh-oh, oh",https://genius.com/Death-cab-for-cutie-405-acoustic-lyrics
Death Cab for Cutie,The John Byrd EP,"405 (The Showbox, Seattle 5.08.04)","I took the 405 and drove a stake down into your center
And stated that it's never ever been better than this
I hung my favorite shirt on the floorboard, wrinkled up
From pulling pushing and tasting, tasting

You keep twisting the truth
That keeps me thrown askew

Misguided by the 405, 'cause it lead me to an alcoholic summer
I missed the exit to your parents' house hours ago
Red wine and the cigarettes
Hide your bad habits underneath the patio, patio, patio, patio

You keep twisting the truth
That keeps me thrown askew
You keep twisting the truth
That keeps mе thrown askew
I, hi
I, hi
I, hi
I, hi

Thanks",https://genius.com/Death-cab-for-cutie-405-the-showbox-seattle-50804-lyrics
Death Cab for Cutie,Thank You for Today,60 & Punk,"There's nothing funny about just slipping away
It's nothing funny how you're spending your days
But you're laughing like a kid at a carnival
I watched you stumbling around this dusty town
I heard your bottle talking way too loud
As the Federales tried to hunt you down
For something you can't remember what was about

The curtain falls to applause
And the band plays you off, the band plays you off
He's a superhero growing bored
With no one to save anymore

I used to watch you on the late night scene
The timely rescue of a metal teen
Six strings were strumming rhythm and lead
And that hadn't occurred to me
When I met you I was 22
Trying so hard to play it cool
But there was so much that I needed to say
And nothing came out the right way

The curtain falls to applause
And the band plays you off, the band plays you off
He's a superhero growing bored
With no one to save anymore
The curtain falls to applause
And the band plays you off, the band plays you off
He's a superhero growing bored
With no one to save anymore

There's nothing elegant in being a drunk
It's nothing righteous being 60 and a punk
But when you're looking in the mirror do you see
That kid that you used to be?
Broke and working in a record store
Daydreaming about the upcoming tour
Were you happier when you were poor?
Were you happier when you were poor?

The curtain falls to applause
And the band plays you off, the band plays you off
He's a superhero growing bored
With no one to save anymore
The curtain falls to applause
And the band plays you off, the band plays you off
He's a superhero growing bored
With no one to save anymore",https://genius.com/Death-cab-for-cutie-60-and-punk-lyrics
Death Cab for Cutie,The Open Door EP,A Diamond and a Tether,"Pity, take pity on me
'Cause I'm not half the man that I should be
Always turning to run
From the people I should not be afraid of
And darling, you should know
That I have fantasies about being alone
It's like love is a lesson that I can't learn
So I make the same mistakes at each familiar turn

I know you can't hold out forever
Waiting on a diamond and a tether
From a boy who won't swim but who will dip his toe in
Just to keep you here with him

I've got this habit I abhor
When we go out, I'm always watching the door
As if there's someone I'm gonna see
Who could outdo the things that you do to me

And I know you can't hold out forever
Waiting on a diamond and a tether
From a boy who won't fly, but who will take to the skies
If he thinks that you're about to say goodbye

Pity, take pity on me
'Cause I'm not half the man that I should be
And I don't blame you, you've had enough
Of all these empty promises and countless bluffs

'Cause I know you can't hold out forever
Waiting on a diamond and a tether
From a boy who won't jump when he falls in love
And he just stands with his toes on the edge
And he waits for it to disappear again",https://genius.com/Death-cab-for-cutie-a-diamond-and-a-tether-lyrics
Death Cab for Cutie,,A diamond and a tether - ep version,"Pity
Take pity on me
'Cause Im not half the man that I should be
Always turning to run
From the people I should not be afraid of
And darlin' you should know
That I have fantasies about being alone
Its like love is a lesson
That I can't learn
So I make the same mistakes at each familiar turn

I know you can't hold out forever
Waiting on a diamond and a tether
From a boy who won't swim
But who will dip his toe in
Just to keep you here with him
Ive got this habit I abhor
When we go out Im always watching the door
As if theres someone Im gonna see
Who could out do the things that you do to me

I know you can't hold out forever
Waiting on a diamond and a tether
From a boy who won't fly
Who will take to the skies
If he thinks that youre about to say goodbye
Pity, take pity on me
'Cause Im not half the man that I should be
And I dont blame you youve had enough
With all these empty promises and countless bluffs

'Cause I know you can't hold out forever
Waiting on a diamond and a tether
From a boy who won't jump
When he falls in love
He just stands with his toes on the edge
And he waits for it to disappear again",https://genius.com/Death-cab-for-cutie-a-diamond-and-a-tether-ep-version-lyrics
Death Cab for Cutie,Transatlanticism (2013 Reissue),A Lack of Color,"And when I see you, I really see you upside down
But my brain knows better, it picks you up and turns you around
Turns you around, turns you around
If you feel discouraged that there's a lack of color here
Please don't worry, lover, it's really bursting at the seams
From absorbing everything, the spectrums A to Z

Ah-ah, ah-ah
Ah-ah, ah-ah, ah-ah

This is fact, not fiction, for the first time in years
And all the girls in every girly magazine can't make me feel
Any less alone, I'm reaching for the phone

To call at 7:03
And on your machine I slur a plea for you to come home
But I know it's too late
And I should have given you a reason to stay
Given you a reason to stay
Given you a reason to stay
Given you a reason to stay

This is fact, not fiction, for the first time in years",https://genius.com/Death-cab-for-cutie-a-lack-of-color-lyrics
Death Cab for Cutie,Transatlanticism (2013 Reissue),A Lack of Color (Demo),"And when I see you I really see you upside down
But my brain knows better, it picks you up and turns you around
Turns you around, turns you around

If you feel discouraged when there's a lack of color here
Please, don't worry, lover, it's really bursting at the seams
From absorbing everything the spectrum's A-to-Z

Ah, ah, ah, ah
Ah, ah, ah, ah, ah, ah

This is fact, not fiction, for the first time in years
All the girls in every girly magazine can't make me feel
Any less alone, I'm reaching for the phone

To call at 7:03
On your machine, I beg and plead for you to come home
But it's far too late
I should have given you a reason to stay
Given you a reason to stay
Given you a reason to stay
Given you a reason to stay

This is fact, not fiction, for the first time in years",https://genius.com/Death-cab-for-cutie-a-lack-of-color-demo-lyrics
